concept_name,concept_id,include,rationale
Mitochondrial cytopathy,81539,False,"No, mitochondrial cytopathy is not specific to pulmonary hypertension. Mitochondrial cytopathy refers to a group of disorders caused by abnormalities in the mitochondria, which are responsible for producing energy in cells. While mitochondrial dysfunction can contribute to various health issues, including cardiovascular problems, it is not a defining characteristic of pulmonary hypertension. Pulmonary hypertension is primarily related to elevated blood pressure in the pulmonary vasculature, leading to right ventricular dysfunction and heart failure. Therefore, having mitochondrial cytopathy does not necessarily mean that an individual will have pulmonary hypertension."
Chronic pulmonary embolism,44782732,False,"No.

Rationale: Chronic pulmonary embolism is a condition characterized by the presence of a blood clot in the pulmonary arteries, leading to impaired blood flow to the lungs. While chronic pulmonary embolism can lead to pulmonary hypertension as a complication, not all cases of chronic pulmonary embolism will result in the development of pulmonary hypertension. Therefore, having chronic pulmonary embolism does not definitively mean that a person has pulmonary hypertension."
Dependence on supplemental oxygen,42873170,True,"Yes, dependence on supplemental oxygen can be specific to Pulmonary Hypertension. 

Patients with Pulmonary Hypertension may develop severe symptoms such as dyspnea and fatigue due to the elevated pulmonary arterial pressure and right ventricular dysfunction. As the disease progresses, these patients may require supplemental oxygen to help with their breathing and oxygenation. Therefore, if a patient with Pulmonary Hypertension is dependent on supplemental oxygen, it is highly likely that they have the malady. However, not all patients who are dependent on supplemental oxygen have Pulmonary Hypertension, as there are other conditions that can also lead to the need for oxygen therapy."
Alveolar hypoventilation,440376,True,"Yes, alveolar hypoventilation can be specific to Pulmonary Hypertension. Alveolar hypoventilation refers to inadequate ventilation of the alveoli in the lungs, leading to decreased oxygen levels and increased carbon dioxide levels in the blood. In the context of Pulmonary Hypertension, alveolar hypoventilation can occur as a result of impaired gas exchange due to the elevated pulmonary arterial pressure and subsequent right heart dysfunction. This can contribute to symptoms such as dyspnea and fatigue in patients with Pulmonary Hypertension. Therefore, if a patient with Pulmonary Hypertension presents with alveolar hypoventilation, it is likely a specific manifestation of the disease."
Chronic hypoxemic respiratory failure,4177862,True,"Yes, chronic hypoxemic respiratory failure can be specific to Pulmonary Hypertension. 

Chronic hypoxemic respiratory failure is a condition characterized by low oxygen levels in the blood over a prolonged period of time, often due to underlying lung diseases such as chronic obstructive pulmonary disease (COPD) or interstitial lung disease. In the context of Pulmonary Hypertension, chronic hypoxemia can lead to vasoconstriction in the pulmonary vasculature, contributing to the development or worsening of PH. Therefore, if a patient has chronic hypoxemic respiratory failure, they may also have or be at risk for developing Pulmonary Hypertension."
Cardiovascular system hereditary disorder,4179992,False,"No. A cardiovascular system hereditary disorder is a broad category that can encompass a variety of conditions affecting the heart and blood vessels. While some hereditary disorders may predispose individuals to developing pulmonary hypertension, not all cardiovascular system hereditary disorders specifically lead to pulmonary hypertension. Therefore, having a cardiovascular system hereditary disorder does not definitively mean that an individual has pulmonary hypertension."
Langerhans cell histiocytosis,4278365,False,"No, Langerhans cell histiocytosis is not specific to Pulmonary Hypertension. Langerhans cell histiocytosis is a rare disorder characterized by an overproduction of Langerhans cells in the body, leading to the formation of tumors or lesions. While Langerhans cell histiocytosis can affect multiple organs, including the lungs, it is not directly linked to the development of Pulmonary Hypertension. The two conditions have different pathophysiological mechanisms and etiologies, making them distinct entities."
Acute on chronic hypoxemic respiratory failure,37016114,False,"No

Rationale:
Acute on chronic hypoxemic respiratory failure is a condition characterized by a sudden worsening of respiratory function in a patient with pre-existing chronic respiratory insufficiency. While pulmonary hypertension can lead to chronic hypoxemia and respiratory failure, not all patients with pulmonary hypertension will develop acute on chronic hypoxemic respiratory failure. Therefore, the presence of acute on chronic hypoxemic respiratory failure does not definitively indicate the presence of pulmonary hypertension."
Pulmonary sarcoidosis,4086243,False,"No

Rationale: Pulmonary sarcoidosis is a condition characterized by the formation of granulomas in the lungs, which can lead to symptoms such as cough, shortness of breath, and chest pain. While pulmonary sarcoidosis can potentially lead to pulmonary hypertension as a complication, not all patients with pulmonary sarcoidosis will develop pulmonary hypertension. Therefore, having pulmonary sarcoidosis does not definitively mean that a person will have pulmonary hypertension."
Inflammatory disorder of mediastinum,4189294,False,"No, the condition ""Inflammatory disorder of mediastinum"" is not specific to Pulmonary Hypertension. While inflammation in the mediastinum can potentially be a complication of Pulmonary Hypertension, it is not a defining characteristic of the disease. Pulmonary Hypertension is primarily characterized by elevated blood pressure in the pulmonary vasculature leading to right ventricular dysfunction and heart failure. Therefore, having an inflammatory disorder of the mediastinum does not definitively mean that a person has Pulmonary Hypertension."
Chronic hypercapnic respiratory failure,4140438,True,"Yes, chronic hypercapnic respiratory failure can be specific to Pulmonary Hypertension. 

Chronic hypercapnic respiratory failure is a condition characterized by elevated levels of carbon dioxide in the blood due to inadequate ventilation. In the context of Pulmonary Hypertension, chronic hypercapnic respiratory failure can occur as a result of the underlying lung disease or respiratory muscle weakness that may be contributing to the development of PH. 

Patients with Pulmonary Hypertension may develop chronic hypercapnic respiratory failure as a consequence of the disease process affecting the pulmonary vasculature and leading to impaired gas exchange in the lungs. Therefore, if a patient has chronic hypercapnic respiratory failure, it is possible that they also have Pulmonary Hypertension. However, not all patients with Pulmonary Hypertension will necessarily develop chronic hypercapnic respiratory failure, as it depends on the specific underlying causes and disease progression."
Acute on chronic hypercapnic respiratory failure,36716978,True,"Yes, acute on chronic hypercapnic respiratory failure can be specific to Pulmonary Hypertension. 

Patients with Pulmonary Hypertension can develop acute on chronic hypercapnic respiratory failure due to the progression of the disease leading to impaired gas exchange and respiratory muscle weakness. This condition can result in an exacerbation of symptoms such as dyspnea and fatigue, which are common in patients with Pulmonary Hypertension. Therefore, if a patient with Pulmonary Hypertension presents with acute on chronic hypercapnic respiratory failure, it is highly likely that the two conditions are related."
Pulmonary thrombosis,4239826,False,"No

Rationale: Pulmonary thrombosis refers to the formation of blood clots within the pulmonary vasculature, which can lead to pulmonary embolism. While pulmonary thrombosis can contribute to pulmonary hypertension in some cases, it is not specific to the malady of pulmonary hypertension. Pulmonary hypertension can have various causes, including but not limited to pulmonary thrombosis. Therefore, having pulmonary thrombosis does not definitively mean that an individual has pulmonary hypertension."
Pulmonary lymphangioleiomyomatosis,4174275,True,"Yes, pulmonary lymphangioleiomyomatosis (LAM) is specific to the malady of Pulmonary Hypertension (PH). LAM is a rare lung disease that can lead to the development of PH as a complication. LAM is characterized by the abnormal growth of smooth muscle cells in the lungs, which can lead to obstruction of blood vessels and increased pulmonary arterial pressure, ultimately resulting in PH. Therefore, if a patient has been diagnosed with pulmonary lymphangioleiomyomatosis, they are at risk of developing pulmonary hypertension as a consequence of their underlying lung disease."
Angiomatosis,4006951,False,"No, angiomatosis is not specific to pulmonary hypertension. Angiomatosis refers to a condition characterized by the presence of multiple small blood vessel tumors (angiomas) in various tissues and organs. While angiomatosis can occur in the lungs and potentially contribute to pulmonary hypertension, it is not a defining or specific feature of the condition. Pulmonary hypertension is primarily characterized by elevated blood pressure within the pulmonary vasculature, leading to right ventricular dysfunction and heart failure, which may have various underlying causes as mentioned in the description of the malady. Therefore, the presence of angiomatosis alone does not definitively indicate the presence of pulmonary hypertension."
Infection by Schistosoma,436038,False,"No, infection by Schistosoma is not specific to Pulmonary Hypertension. While Schistosoma infection can lead to pulmonary hypertension in some cases, it is not a definitive indicator of the condition. Pulmonary Hypertension can have various causes, as mentioned in the description, and Schistosoma infection is just one of many potential contributing factors. Additional diagnostic evaluation would be needed to confirm the presence of Pulmonary Hypertension in a patient with a Schistosoma infection."
High output heart failure,4004279,False,"No, high output heart failure is not specific to pulmonary hypertension. High output heart failure is a condition where the heart is unable to meet the body's demands despite normal or elevated cardiac output. It can be caused by various factors such as anemia, hyperthyroidism, arteriovenous shunts, or chronic liver disease. While pulmonary hypertension can lead to right ventricular dysfunction and heart failure, not all cases of high output heart failure are directly related to pulmonary hypertension. Therefore, having high output heart failure does not definitively mean that a person has pulmonary hypertension."
Biventricular congestive heart failure,4242669,True,"Yes, biventricular congestive heart failure is specific to pulmonary hypertension.

Rationale:
Biventricular congestive heart failure refers to the failure of both the left and right ventricles of the heart to pump effectively, leading to fluid buildup in the lungs and body. In the case of pulmonary hypertension, the elevated blood pressure in the pulmonary vasculature can lead to right ventricular dysfunction and ultimately heart failure, which can manifest as biventricular congestive heart failure. Therefore, if a patient has biventricular congestive heart failure, it is likely that they also have pulmonary hypertension as a contributing factor to their condition."
Right heart failure secondary to left heart failure,4195785,False,"No, right heart failure secondary to left heart failure is not specific to Pulmonary Hypertension. While right heart failure can be a complication of Pulmonary Hypertension due to the increased pressure in the pulmonary vasculature leading to right ventricular dysfunction, it can also occur as a result of left heart failure. Right heart failure secondary to left heart failure is a separate condition that can have various causes such as coronary artery disease, hypertension, valvular heart disease, or cardiomyopathy. Therefore, the presence of right heart failure secondary to left heart failure does not definitively indicate the presence of Pulmonary Hypertension."
Acute right-sided heart failure,4233424,True,"Yes, acute right-sided heart failure is specific to pulmonary hypertension. 

In pulmonary hypertension, the elevated blood pressure within the pulmonary vasculature can lead to right ventricular dysfunction and ultimately, heart failure. Acute right-sided heart failure is a manifestation of this process, as the right ventricle struggles to pump blood against the increased pulmonary pressures. Therefore, if a patient has acute right-sided heart failure, it is highly likely that they also have pulmonary hypertension."
Capillary hemangioma,4291592,False,"No, a capillary hemangioma is not specific to pulmonary hypertension. Capillary hemangiomas are benign vascular tumors commonly found in infants and young children, typically appearing as a red or purple raised lesion on the skin or mucous membranes. They are not directly related to the pathophysiology of pulmonary hypertension, which involves elevated blood pressure in the pulmonary vasculature leading to right ventricular dysfunction and heart failure. While both conditions involve blood vessels, they are distinct entities with different etiologies and clinical presentations."
Chronic hemolytic anemia,45768941,False,"No.

Rationale:
Chronic hemolytic anemia is not specific to pulmonary hypertension. While chronic hemolytic anemia can be a comorbidity or associated condition in some cases of pulmonary hypertension, it is not a defining characteristic of the disease. Pulmonary hypertension is primarily characterized by elevated blood pressure within the pulmonary vasculature leading to right ventricular dysfunction and heart failure, as described in the provided description. Therefore, having chronic hemolytic anemia does not definitively mean that an individual has pulmonary hypertension."
Sclerosing mediastinitis,4249898,False,"No, sclerosing mediastinitis is not specific to pulmonary hypertension. Sclerosing mediastinitis is a rare fibroinflammatory disorder characterized by the proliferation of fibrous tissue within the mediastinum, which can lead to compression of mediastinal structures such as the esophagus, trachea, and blood vessels. While sclerosing mediastinitis can potentially lead to pulmonary hypertension if it causes compression of pulmonary vessels, it is not a defining feature of the condition. Therefore, having sclerosing mediastinitis does not definitively mean that a person has pulmonary hypertension."
CK syndrome,36676440,False,"No, CK syndrome is not specific to Pulmonary Hypertension. CK syndrome is a rare genetic disorder characterized by intellectual disability, seizures, microcephaly, and a distinctive facial appearance. There is no known association between CK syndrome and Pulmonary Hypertension based on current medical knowledge."
Acquired hemangiomatosis,4111945,False,"No, acquired hemangiomatosis is not specific to pulmonary hypertension. Acquired hemangiomatosis is a rare vascular disorder characterized by multiple cutaneous and visceral hemangiomas. While it can present with pulmonary involvement, it is not a defining feature of pulmonary hypertension. Pulmonary hypertension is primarily characterized by elevated blood pressure within the pulmonary vasculature leading to right ventricular dysfunction and heart failure. Therefore, having acquired hemangiomatosis does not definitively mean that a person has pulmonary hypertension."
Obesity associated disorder,4176962,False,"No

Rationale: While obesity is a known risk factor for developing pulmonary hypertension, it is not a specific condition that definitively indicates the presence of pulmonary hypertension. Many individuals with obesity may not develop pulmonary hypertension, and there are other factors and conditions that can contribute to the development of pulmonary hypertension. Therefore, having an obesity-associated disorder does not necessarily mean that an individual definitely has pulmonary hypertension."
Acute on chronic right-sided congestive heart failure,37309625,True,"Yes, acute on chronic right-sided congestive heart failure is specific to Pulmonary Hypertension.

Rationale:
Acute on chronic right-sided congestive heart failure is a condition characterized by the exacerbation of symptoms of right-sided heart failure, such as fluid retention, peripheral edema, and hepatic congestion. In the context of Pulmonary Hypertension, the elevated pulmonary arterial pressure can lead to right ventricular dysfunction and ultimately right-sided heart failure. Therefore, if a patient has acute on chronic right-sided congestive heart failure, it is highly likely that they also have Pulmonary Hypertension, as the two conditions are closely related in terms of pathophysiology and presentation."
Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,37204406,False,"No

Rationale: Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency is a genetic disorder that affects the immune system, specifically causing a decrease in neutrophils. This condition is not specific to pulmonary hypertension, as it primarily affects the immune system and does not directly impact the pulmonary vasculature or right ventricular function. While a patient with this condition may potentially develop pulmonary hypertension as a secondary complication, having autosomal recessive severe congenital neutropenia due to G6PC3 deficiency does not definitively mean that the individual will have pulmonary hypertension."
Hypertension secondary to drug,4108213,False,"No, hypertension secondary to drug is not specific to Pulmonary Hypertension. 

Hypertension secondary to drug refers to elevated blood pressure caused by certain medications or substances. While drug-induced hypertension can lead to various complications, including cardiovascular issues, it is not directly related to the specific pathophysiology of Pulmonary Hypertension, which involves elevated blood pressure within the pulmonary vasculature leading to right ventricular dysfunction. Therefore, having drug-induced hypertension does not definitively mean that an individual has Pulmonary Hypertension."
Chronic drug-induced interstitial lung disorders,4112814,False,"No

Rationale: Chronic drug-induced interstitial lung disorders are not specific to pulmonary hypertension. While drug-induced lung disorders can lead to pulmonary hypertension as a complication, not all patients with drug-induced interstitial lung disorders will develop pulmonary hypertension. The presence of chronic drug-induced interstitial lung disorders does not definitively indicate the presence of pulmonary hypertension."
Pulmonary heart disease,4167085,True,"Yes, pulmonary heart disease is specific to pulmonary hypertension. Pulmonary heart disease, also known as cor pulmonale, is a condition that occurs when the right side of the heart becomes enlarged and strained due to high blood pressure in the lungs (pulmonary hypertension). Therefore, if a person has pulmonary heart disease, they definitely have pulmonary hypertension as the underlying cause."
Indian childhood cirrhosis,4268006,False,"No, Indian childhood cirrhosis is not specific to pulmonary hypertension. Indian childhood cirrhosis is a rare form of liver disease that primarily affects children in India, leading to liver failure and cirrhosis. While there may be some overlap in symptoms such as fatigue and potentially right heart failure in advanced cases, Indian childhood cirrhosis is primarily a liver condition and not directly related to pulmonary hypertension."
Chronic pulmonary thromboembolism without pulmonary hypertension,45771016,False,"No, chronic pulmonary thromboembolism without pulmonary hypertension is not specific to the malady of Pulmonary Hypertension. 

Chronic pulmonary thromboembolism refers to the presence of blood clots in the pulmonary arteries over a prolonged period of time. While chronic pulmonary thromboembolism can lead to pulmonary hypertension in some cases, it is not a definitive indicator of the presence of Pulmonary Hypertension. 

Pulmonary Hypertension is a distinct condition characterized by elevated blood pressure within the pulmonary vasculature, which can have various underlying causes beyond chronic pulmonary thromboembolism. Therefore, the presence of chronic pulmonary thromboembolism without pulmonary hypertension does not definitively indicate the presence of Pulmonary Hypertension."
Chronic pulmonary heart disease,315831,True,"Yes, chronic pulmonary heart disease is specific to pulmonary hypertension. Chronic pulmonary heart disease refers to the long-term effects of pulmonary hypertension on the heart, specifically leading to right ventricular dysfunction and ultimately heart failure. Therefore, if a patient has chronic pulmonary heart disease, they definitely have pulmonary hypertension as the underlying cause."
Neurofibroma,4300676,False,"No, neurofibroma is not specific to pulmonary hypertension. Neurofibroma is a benign nerve sheath tumor that arises from the cells that cover nerves. It is typically associated with neurofibromatosis type 1 (NF1) or can occur sporadically. While patients with NF1 may have various systemic manifestations, including cardiovascular abnormalities, there is no direct link between neurofibroma and pulmonary hypertension. Pulmonary hypertension is primarily related to the pathophysiology of the pulmonary vasculature and right heart function, rather than nerve sheath tumors."
